,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
1,narendramodi,Prime Minister of India,,,1,,,,,,,,,,
2,PMOIndia,Office of the Prime Minister of India,,,1,,,,,,,,,,
3,Pontifex,Welcome to the official Twitter page of His Holiness Pope Francis,,,,,,,,,,,,,
4,UberFacts,The most unimportant things you'll never need to know.,,,,,1,,,,,,,,
5,timesofindia,"News. Views. Analysis. Conversations. India’s No.1 digital news destination, world’s largest-selling English newspaper - A Times Internet Limited Product",,,,,1,,,,,,,,
6,ndtv,Breaking news alerts from India,,,,,1,,,,,,,,
7,BJP4India,"Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा)

https://t.co/d1IYtw5taF",,,1,,,,,,,,,,
8,guardian,The need for independent journalism has never been greater. Become a Guardian supporter: https://t.co/gWyuUVlObq,,,,,1,,,,,,,,
9,htTweets,One of India's largest media companies. Latest news from around the world. Retweets are not endorsements.,,,,,1,,,,,,,,
10,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned Download App: https://t.co/PVrW5AjdTH",,,,,1,,,,,,,,
11,sciam,Awesome discoveries. Expert insights. Science that shapes the world.,,,,,1,,,,,,,,
12,rsprasad,"Law & Justice, Communications, Electronics & Information Technology Minister of India #DigitalIndia",,,1,,,,,,,,,,
13,IndianExpress,"The Indian Express brings to you latest news from India and the world, breaking round the clock. The 'Journalism of Courage' starts here.",,,,,1,,,,,,,,
14,ANI,"Asian News International.Multi-media news agency,content for information platforms:TV,Internet,broadband,newspapers,mobiles https://t.co/8qaMJ9LH",,,,,1,,,,,,,,
15,ANI,"Asian News International.Multi-media news agency,content for information platforms:TV,Internet,broadband,newspapers,mobiles https://t.co/8qaMJ9LH",,,,,1,,,,,,,,
16,guardiannews,,,,,,1,,,,,,,,
17,DDNewsLive,"Official Twitter account of DD News, the Public Broadcaster of India.   हिंदी में @DDNewsHindi.

Follow us on- https://t.co/yCp3sSJSJY",,,,,1,,,,,,,,
18,Ginger_Zee,"Chief Meteorologist at ABC News; Certified Broadcast Meteorologist (CBM) Seal from the AMS, Host Food Forecast, author Natural Disaster & Chasing Helicity",1,,,,1,,,,,,,,
19,NHM_London,"The Natural History Museum in London is a treasure in every way. Join us for updates on our science, collections and all our activities.",1,,,,,,,,,,,,
20,drramansingh,छत्तीसगढ़ महतारी का सेवक,,,1,,,,,,,,,,
21,nsitharaman,"Minister of Finance and Corporate Affairs. MP (RS) representing Karnataka, views personal, RTs no endorsement.",,,1,,,,,,,,,,
22,narendramodi_in,Twitter account of https://t.co/zzYhUTXOHI – Shri Narendra Modi's personal website & the Narendra Modi Mobile App.,,,1,,,,,,,,,,
23,airnewsalerts,"Official account of News Services Division, All India Radio.

हिंदी के समाचारों के लिए @AIRNewsHindi को फॉलो करें!",,,,,1,,,,,,,,
24,SadhguruJV,"A Yogi, Mystic & Visionary. This account is managed by volunteers @Ishafoundation. Tweets from Sadhguru himself are signed - Sg",,,,,,,,,,,1,,
25,dna,"Follow us for news, photos, videos and the latest trends from India and around the world. http://t.co/IZXefx3rSt",,,,,1,,,,,,,,
26,PTI_News,PTI !  We bring the World to you...,,,,,1,,,,,,,,
27,eNCA,eNCA and https://t.co/Ue6MDAVM9j are 24-hour news channels focusing on news from across SA and Africa. Live on @DStv 403. Look for eNCA on YouTube,,,,,1,,,,,,,,
28,Greenpeace,Greenpeace exists because this fragile earth deserves a voice. It needs solutions. It needs change. It needs action.,,,,,,,1,,,,,,
29,mygovindia,"Citizen engagement platform of GoI, giving people the opportunity to work towards Surajya through their ideas, suggestions & grass root level contribution.",,,,,,,1,,,,,,
30,PIB_India,"Press Information Bureau. Nodal agency for communicating to media on behalf of  #Government of #India. Follow for official #GoI updates.
In Hindi: @pibhindi",,,1,,1,,,,,,,,
31,PeaceCorps,"If you are inspired by global impact that is hands-on, grassroots-driven, and lasting, get to know us. 
RTs ≠ endorsements",,,1,,,,,,,1,,,
32,mlkhattar,"Chief Minister of Haryana, India",,,1,,,,,,,,,,
33,Ra_THORe,"Member of Parliament - Jaipur (Rural), Olympic 🥈 Medalist, Padma Shri, Army 🇮🇳",,,1,,,,,,,,,,
34,IndianDiplomacy,"Official Account of #India's Public Diplomacy, Ministry of External Affairs @MEAIndia. Engagement through #digitaldiplomacy.",,,1,,,,,,,,,,
35,ianuragthakur,"Minister of State Finance & Corporate Affairs, India 🇮🇳 | 4th Term Member of Parliament (LS - Hamirpur HP)",,,1,,,,,,,,,,
36,MVenkaiahNaidu,Vice President of India,,,1,,,,,,,,,,
37,_DigitalIndia,This is the official Twitter account of Digital India. RTs are not endorsements.,,,1,,,,,,,,,,
38,qikipedia,Quite Interesting facts from the team behind the BBC TV show QI. https://t.co/KajPX02jPd https://t.co/e7kKHcHU2N https://t.co/q3qVciWTD7,,,,,1,,,,,,,,
39,guardianscience,"Science, health and environment news from the @Guardian. Plus, independent comment and analysis from our network of expert science bloggers",,,,,1,,,,,,,,
40,MIB_India,"This is the official twitter account of Ministry of Information and Broadcasting, Government of India. Follow 
@MIB_Hindi for tweets in Hindi.",,,1,,,,,,,,,,
41,TOIIndiaNews,Latest news from all over the country brought to by India’s No.1 digital news destination https://t.co/VSKi1mkZBr,,,,,1,,,,,,,,
42,Salon,"The original online source for news, politics and entertainment. 

 We’re on Instagram: salonofficial",,,,,1,,,,,,,,
43,nature_org,"Our mission is to conserve the lands and waters on which all life depends. Working in 72 countries, all 50 U.S. states and your backyard.",,,,,,,1,,,,,,
44,CMOMaharashtra,Office of the Chief Minister of Maharashtra @Dev_Fadnavis,,,1,,,,,,,,,,
45,earthskyscience,Updates on your cosmos and world.,,,,,1,,,,,,,,
46,UPGovt,"Official Twitter handle of the Government of Uttar Pradesh, Lucknow, India.

उत्तर प्रदेश सरकार का आधिकारिक अकाउंट",,,1,,,,,,,,,,
47,UNEnvironment,Official account of the United Nations Environment Programme. 🌏🌍🌎,,,,,,,,,,1,,,
48,dawn_com,"This is http://t.co/vAYXvvKr's live Twitter feed, your window to latest news, analysis and features from Pakistan, South Asia and the world.",,,,,1,,,,,,,,
49,KailashOnline,"National General Secretary of #BJP, Active Worker & a Proud Indian who continuously strives for development.",,,1,,,,,,,,,,
