,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
1,USDA_NRCS,"USDA's Natural Resources Conservation Service: issues & news related to conservation, agriculture & the environment. Following/RTs don't=endorsement.",,,1,,,1,,,,,,,
2,IowaNRCS,"Through a network of 100 field offices, USDA-NRCS in Iowa helps private landowners protect and enhance natural resources across the state.",,,1,,,,,,,,,,
3,SoilAssociation,"We are the UK's leading organic food and farming charity and certification body. Good food for all is a right, not a privilege.

We tweet during office hours",,,,,,,1,1,,,,,
4,regeneration_in,We can cool the planet and feed the world through organic regenerative agriculture! 🌱🌎,,,,,,,1,,,,,,
5,DefendingBeef,[Tweets for] The case for sustainable meat -The manifesto of an environmental lawyer & vegetarian turned cattle rancher  Nicolette Hahn Niman,,1,,,,1,,,,,,,
6,SoilsAlliance,"Sustainable Soils Alliance - Our goal is to restore UK soil to health within one generation. For food production, flood protection and climate mitigation.",,,,,,,1,,,,,,
7,CoverCropCoach,"Invest 1 hour a week- Improve the soil for generations! Convenient, In-depth & Down-to-earth COVER CROP Training cover-crops-future-proof",,,,,,,1,,,,,,
8,SoilHealthWA,The Washington State Soil Health Committee will advocate for soil health and conservation in Washington State by educating landowners and citizens.,,,1,,,1,,,,,,,
9,MineralDoc,I highlight mineral deficiencies & need to supplement. I promote a unique plant based wafer. I'm #FPSBS #KingOf #JPOTM #RHBLegend #SmartSocial #TwitterBrothers,1,,,,,,,,1,,,,
10,chrisleefish,USDA - Natural Resources Conservation Service Team Leader and past President of Hoosier Chapter of Soil and Water Conservation Society. https://t.co/awTWlrmdCK,,,1,,,1,,,,,,,
11,agricology,"A hub for exchanging practical information on agroecology to support a transition to more sustainable agriculture, regardless of labels!",,,,,,,,,,,,,
12,soilhealth1,The Cornell Soil Health Lab is home to the worlds most comprehensive Soil Health Test. Visit our website to learn about our soil testing packages.,1,,,,,1,,,,,,,
13,NDSUsoilhealth,NDSU Extension Soil Health Specialist and Assistant Professor of Soil Health. Tweets are science-based examples of soil health building practices used on-farm,1,,,,,1,,,,,,,
14,farmerdoug93,"I farm in Iowa I raise corn and soybeans on the family farm. Ask me about farming, ethanol, food, NRCS, or how I raise crops with strip-till to conserve soil.",,1,,,,,,,,,,,
15,SoilPartners,We are the Soil Health Partnership. We measure and communicate economic and environmental benefits of progressive #soilhealth management from #farm trials.,1,1,,,,1,1,,,,,,
16,nobleresinst,"We deliver solutions to great agricultural challenges. #scienceservingagriculture 
Retweets not endorsements.",1,,,,,,1,,,,,,
17,RegenAGuk,#farming #soilmatters #soilhealth #regenerativeagriculture #regenag #resilience #sustainability #agroecology #holisticmanagement #knowledgeexchange #education,,,,,,1,,,,,,,
18,LSPnow,Official Land Stewardship Project twitter. LSP is a family farm & sustainable agriculture membership organization working for people & the land.,,1,,,,,1,,,,,,
19,rebuildsoil,An opportunity to address climate change is right beneath our feet: Healthy soil is a climate solution.  A program of Center for Food Safety (@CFSTrueFood).,,,,,,,1,,,,,,
20,BEHumic,"We believe we can help farms around the world improve their yields and soils regardless of their size, crop, or soil type.",,,,,,1,,,,,,,
