,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
4,OccuWorld,"Truth Locating Engine. Non-funded, volunteer, automated. In solidarity with humanity.",,,,,,,,,,,,1,
5,_MrDavidJones,"National--Local--International--NEWS.          ☕️☕️☕️ a requirement. 

VIEWS MY OWN.       Retweets are #ICYMI - NOT endorsements.  

 STAY SAFE ONLINE 🙂",,,,,1,,,,,,,,
6,neewsbot,,,,,,1,,,,,,,,
7,NVPeople,Selected News tweets from today. Advice links. Follow for constant updates. It is more effective to use the 'Quote' then 'Comment' method for followers...,,,,,1,,,,,,,,
8,Market_Screener,"Find all financials news in real time. Equities, Indexes, Commodities, Currencies, Analysis, Top & Flop #MarketScreener",,,,,1,,,,,,,,
9,SilberWorldNews,I made this feed to keep track of news from diverse sources to keep balance.,,,,,1,,,,,,,,
10,TheDailyDigest,,,,,,1,,,,,,,,
11,sirajs0l,👏🏾#Aut0mat!0n #Html5CSS3Jqu3ryR3sp0nsiv3 #Inf0S3cGadg3ts #W0rdPr3ss #IAmAMusl!mالحمدلله #!mmigrant @realdonaldtrump #Ant!Z!0n!st #W3bD3v 0w3d$by @BetterBizWorks,,,,,,,,,,,,1,
12,Pairsonnalites,Americas — United Kingdom  | Keeping up-to-date on global exclusion — Stigmabase is an internet non-profit Initiative,,,,,,,1,,,,,,
13,3novices,"The First Online Media Updater: We try to Share Media I.e Technology, News, Entertainment http://t.co/Hu0HaQt7sS Launcher-Founder Meghashyam,Bharath,Vaishnavi",,,,,1,,,,,,,,
14,environmentguru,"Intelligence tools to find #water, #energy, #air, #greenbuilding, #toxic, #sustainability, #waste, #naturalresources including #news, #jobs, #events, and #bids",,,,,1,,,,,,,,
16,Michael_Vasanth,"Analyst, Blogger, Coder, Designer, Editor, Futurist, Gadgetist, Hacker & an Internet person",,,,,1,,,,,,,,
17,sharebossindia,"Search less. Research more!  
ShareBoss.in your gateway for stock research.",,,,,,,,,,,,1,
18,NTKRNow,,,,,,,,,,,,,1,
19,LennaLeprena,"REAL music & REAL truth to power...Rock Station Lenna, the music time machine!",,,,,,,,,,,,1,
20,ranaalikash,☆♡ #Great #Minds #think #alone ♡☆,,,,,1,,,,,,,,
21,_Reality_Check_,Borg 1963 of 2017,,,,,1,,,,,,,,
22,jbkavungal,technology that is (v)irtual and (u)biquitous,,,,,,,,,,,,1,
23,animesh1977,,,,,,,,,,,,,1,
25,ZyiteGadgets,Zyite is a digital media and global retailer.,,,,,1,,,,,,,,
26,skinnergj,"Daily News Digest from sources worldwide, posting up to 400 plus tweets daily. With over 1,000 direct subscribers and 80,000 plus across 165 lists.",,,,,1,,,,,,,,
27,HumanityNews,"The latest news on humanitarian, nonprofit and environmental issues. For lower volume, follow @humanitynews2 (same content, less tweets)",,,,,1,,,,,,,,
28,CNBCTV18Live,The CNBC-TV18 news ticker on twitter. The news breaks here first.,,,,,1,,,,,,,,
29,LifeTechnology1,Advertise At Life Technology™ And Your Ad Will Be Displayed On Over Five Million Web Pages ! Visit https://t.co/ImN9MIraEs,,,,1,,,,,,,,,
30,NiliMajumder,"Advocacy 4 Global Fund for Women's initiatives-Women Empowerment,Gender Equality.Spreading the messages of UN & UNVolunteering initiatives.Former VSO vol.",,,,,,,,,,1,,,
31,JoeFreedomLove,Trump/PenceUSA 1st; #MAGA; #KAG; Stop Socialism/Leftism; Sovereignty; Superior Military;Constitutionalist;#2A; Law&Order👮🏼‍♀️;Jesus✝️;Home of the Brave,,,,,1,,,,,,,,
32,Asamoh_,Economist,,,,,,,,,,,,1,
33,HoneymoonGondol,I do 800 RT a day on animal human rights climate change advocate Charity volunteer homeless shelter foster care foundation community WORLD PEACE,,,,,1,,,,,,,,
34,56perumal,#MeraParivarBhajapaParivar  -BJP Cyber  Warrior--Bank Officer(Rtd)  kanyakumari Dist Tamilnadu  perumalpillai.56@gmail.comI,,,,,,,,,,,,1,
35,ChantellDawnSny,"If you need something said, as a man, if you want something done, ask a woman.-Margaret Thatcher #IronLady  #PowerofTheFirstLady #PowerofEveryWoman",,,,,,,,,,,,1,
36,WorldCompanies,Source of information about companies from 65 countries.,,,,,1,,,,,,,,
37,davidjones720,"Motorcycle builder, race car/Motorcycle frame designer, grow my own food, have bee hives, Farm Boy, guns, airbrush art, God Fearing man",,1,,,,,,,,,,,
