"","screen_name","is_science","is_farmer","is_political","is_business","is_media","is_training","is_nonprofit","is_food","is_medical","is_internationalagency","is_nature","is_other"
"1","narendramodi",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Pontifex",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","SenFranken",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Ra_THORe",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","SenatorHeitkamp",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PMOIndia",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HRajaBJP",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","universal_sci",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"9","MVenkaiahNaidu",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","kishanreddybjp",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BJP4India",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","narendramodi_in",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ashokgehlot51",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","SadhguruJV",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","rsprasad",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","qikipedia",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"17","Hugh_Cassidy",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PTI_News",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"19","manojsinhabjp",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","RepTimWalz",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","theumalista",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"22","Manekagandhibjp",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","bhargav_gopal",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","karaedwards",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","naralokesh",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","DanBarber",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"27","5Forty3",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PM_Narendermodi",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","PonnaarrBJP",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ishafoundation",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"31","jayantsinha",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","RadhamohanBJP",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","PRupala",NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CMOMaharashtra",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","iManishBJP",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","bjparvind",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","RishiMishra_",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ShainaNC",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","EamonRyan",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","herdyshepherd1",NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"41","Punjab13to18",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Oscarthefarmer",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","RenukaJain6",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","BJP4Bengal",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Stanford",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","BhupendraSinh1",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","VdsrBjpit",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","BKRichey",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","PMuralidharRao",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ANI",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"51","jhaprabhatbjp",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CimGOI",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","JAINAM_2017",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"54","SuPriyoBabul",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","DeanDjackson",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"56","EdwinTaylor69",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","MaheishGirri",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","RepBost",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","bug_gwen",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"60","getfiscal",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
