,screen_name,description,is_science,is_farmer,is_political,is_business,is_media,is_training,is_nonprofit,is_food,is_medical,is_internationalagency,is_nature,is_other,NOTES
1,narendramodi,Prime Minister of India,,,1,,,,,,,,,,
2,Pontifex,Welcome to the official Twitter page of His Holiness Pope Francis,,,,,,,,,,,,1,
3,SenFranken,Former U.S. Senator Al Franken of Minnesota.,,,1,,,,,,,,,,
4,Ra_THORe,"Member of Parliament - Jaipur (Rural), Olympic 🥈 Medalist, Padma Shri, Army 🇮🇳",,,1,,,,,,,,,,
5,SenatorHeitkamp,"The archived tweets of Heidi Heitkamp, former U.S. Senator for #NorthDakota. This is an inactive account.",,,1,,,,,,,,,,
6,PMOIndia,Office of the Prime Minister of India,,,1,,,,,,,,,,
7,HRajaBJP,"Official Twitter Account of Shri.H Raja, National Secretary, Bharatiya Janata Party. Ex-MLA from Karaikudi Assembly Constituency, Tamil Nadu.",,,1,,,,,,,,,,
8,universal_sci,Official Universal-Sci twitter account - Providing you with Interesting news stories about world wide scientific endeavours,,,,,1,,,,,,,,
9,MVenkaiahNaidu,Vice President of India,,,1,,,,,,,,,,
10,kishanreddybjp,"Union Minister of State for Home Affairs, Govt. of India.            Member of Parliament - Secunderabad (Telangana).",,,1,,,,,,,,,,
11,BJP4India,"Official Twitter account of the Bharatiya Janata Party (BJP), world's largest political party. भारतीय जनता पार्टी (भाजपा)

https://t.co/d1IYtw5taF",,,1,,,,,,,,,,
12,narendramodi_in,Twitter account of https://t.co/zzYhUTXOHI – Shri Narendra Modi's personal website & the Narendra Modi Mobile App.,,,1,,,,,,,,,,UNOFFICIAL ACCOUNT?
13,ashokgehlot51,Chief Minister of Rajasthan,,,1,,,,,,,,,,
14,SadhguruJV,"A Yogi, Mystic & Visionary. This account is managed by volunteers @Ishafoundation. Tweets from Sadhguru himself are signed - Sg",,,,,,,,,,,,,
15,rsprasad,"Law & Justice, Communications, Electronics & Information Technology Minister of India #DigitalIndia",,,1,,,,,,,,,,
16,qikipedia,Quite Interesting facts from the team behind the BBC TV show QI. https://t.co/KajPX02jPd https://t.co/e7kKHcHU2N https://t.co/q3qVciWTD7,,,,,1,,,,,,,,
17,Hugh_Cassidy,"Tweeting about garden colour, all iPhone photos, #DahliaLove #GardenLove #HugosNewGarden #MidWinterJoy #PotagerLove Support people with abilities",,,,,,,,,,,,,"Home gardener- post pictures of his garden, some of which includes 'food' but doen't quit fit into the food category. Leaving this blank for now unless we decide on a new 'gardener category or something."
18,PTI_News,PTI !  We bring the World to you...,,,,,1,,,,,,,,
19,manojsinhabjp,,,,1,,,,,,,,,,
20,RepTimWalz,"Teacher, Football Coach, Command Sgt. Major; Former Representative of Minnesota’s 1st Congressional District",,,`,,,,,,,,,,
21,theumalista,Everything about the home and the best tasting food you have ever seen.,,,,,,,,1,,,,,
22,Manekagandhibjp,"Member of Parliament - Sultanpur Lok Sabha Constituency. 
Follow me on Facebook: https://t.co/L9yr0C3zBl…",,,1,,,,,,,,,,
23,bhargav_gopal,"MLA & Ex Cabinet Minister (Panchayat & Rural Development, Social Justice) Madhya Pradesh",,,1,,,,,,,,,,
