screen_name,tot_retweet_count,n,ratio,type,scale,indiv-org,role,affiliation
DefendingBeef,648,280,2.31,author,USA,indiv,advocacy,
nickykylegarden,374,75,4.99,author,Ireland,indiv,journalism; information,
Andreleu1,419,57,7.35,author,International,indiv,advocacy; information,regeneration_in
judithdschwartz,72,33,2.18,author,USA,indiv,information; journalism,
TamarHaspel,86,26,3.31,author,USA,indiv,journalism,
StuartMMeikle,66,25,2.64,author,Ireland,indiv,information,
KarenStillerman,109,23,4.74,author,USA,indiv,advocacy; information,UCSUSA
wrobertsfood,110,22,5,author,International,indiv,advocacy,
pipcourtney,113,17,6.65,author,Australia,indiv,journalism,
NaomiStarkman,70,12,5.83,author,USA,indiv,journalism,CivilEats
JoannaBlythman,266,11,24.18,author,UK,indiv,journalism; information,
Colin_Todhunter,79,10,7.9,author,International,indiv,information,
vickihird,43,10,4.3,author,UK,indiv,information; advocacy,
ronnie_cummins,148,16,9.25,CEO,USA,indiv,advocacy,regeneration_in
WillemFerwerda,94,13,7.23,CEO,International,indiv,,
nevin_mcdougall,66,13,5.08,CEO,North America,indiv,,alcanadalabs
growobservatory,194,45,4.31,collaboration,Europe,org,science; training,
Nature4Climate,189,23,8.22,collaboration,International,org,advocacy; information,
DrBronner,212,47,4.51,company,USA,org,profit,
annieshomegrown,88,38,2.32,company,USA,org,profit,
Syngenta,134,24,5.58,company,International,org,profit,
Bayer4Crops,108,20,5.4,company,International,org,profit,
SEEDSandCHIPS,145,33,4.39,conference,International,org,tech,
IntegratedSoils,110,12,9.17,education,International,indiv,information,
NDSUsoilhealth,760,329,2.31,extension,USA,indiv,training; science; information,
chrisleefish,190,60,3.17,extension,USA,indiv,training; information,IndianaNRCS; USDA_NRCS
AgrovistaUK,159,50,3.18,extension,UK,org,training; information,
SoilsAtGuelph,143,50,2.86,extension,Canada,org,science; information; training,
UNLamm,100,47,2.13,extension,USA,org,information; training,
Anne_Verhallen,75,23,3.26,extension,Canada,indiv,information; training,
NEIowaAgEng,88,18,4.89,extension,USA,indiv,training; information,ISUANR
smilingtreefarm,327,71,4.61,farmer,UK,indiv,advocacy; farming,
vidacycle_tech,143,66,2.17,farmer,International,org,information; training,sectormentor
PeirettiRoberto,93,30,3.1,farmer,USA,indiv,farming,
cascadianfarm,92,30,3.07,farmer,USA,org,farming,
HeritageGrazier,77,30,2.57,farmer,UK,indiv,farming,
Kilgore_Trout2,101,27,3.74,farmer,USA,indiv,farming; advocacy,
BillSpiegel,68,26,2.62,farmer,USA,indiv,farming; information,
PippaArnold6,94,25,3.76,farmer,UK,indiv,farming; advocacy,
No1FarmerJake,81,23,3.52,farmer,UK,indiv,farming,
robbycoleman1,78,20,3.9,farmer,Ireland,indiv,,
FarmerAngus,88,18,4.89,farmer,South Africa,indiv,farming; advocacy,
Farmer_Tom_UK,126,17,7.41,farmer,UK,indiv,,
geraint_powell,46,11,4.18,farmer,UK,indiv,,
Harold_Steves,74,10,7.4,farmer,Canada,indiv,,
ZwartblesIE,320,84,3.81,farmer; author,Ireland,indiv,,
herdyshepherd1,319,12,26.58,farmer; author,UK,indiv,,
USDA_NRCS,2276,148,15.38,government,USA,org,training; funding,
IowaNRCS,207,76,2.72,government,USA,org,training; funding,USDA_NRCS
teagasc,133,62,2.15,government,Ireland,org,training; information,
FarmersGov,636,50,12.72,government,USA,org,information,
terrainNRM,85,35,2.43,government,Australia,org,funding; training; information,
AAFC_Canada,57,15,3.8,government,Canada,org,funding; training; information,
FertilizerNews,274,102,2.69,industry,International,org,advocacy,
4Rnutrients,61,16,3.81,industry,International,org,advocacy; information,
soilhealth1,187,75,2.49,lab,International,org,science,
alcanadalabs,256,51,5.02,lab,Canada,org,science,
dtdchange,577,69,8.36,media,International,org,information,
nongmoreport,214,55,3.89,media,International,org,advocacy; information,
CivilEats,623,45,13.84,media,USA,org,journalism,
GreenBiz,51,25,2.04,media,USA,org,journalism; information,
OntAg,108,24,4.5,media,Canada,org,information,
FarmersWeekly,75,24,3.12,media,UK,org,information,
GaonConnection,169,15,11.27,media,India,org,information,
FarmFutures,46,12,3.83,media,USA,org,information,
AgWebEditor,66,11,6,media,USA,org,journalism,
MPRnews,63,10,6.3,media,USA,org,journalism,
yesmagazine,61,10,6.1,media,USA,org,journalism,
regeneration_in,4010,185,21.68,non-profit,International,org,advocacy,
SoilsAlliance,502,171,2.94,non-profit,UK,org,advocacy,
SoilsforLife,500,152,3.29,non-profit,Australia,org,training,
agricology,529,95,5.57,non-profit,UK,org,information,
SoilAssociation,854,82,10.41,non-profit,UK,org,certification; advocacy,
SavoryInstitute,967,81,11.94,non-profit,International,org,training; advocacy,
kissthegroundCA,302,81,3.73,non-profit,USA,org,advocacy; training,
RodaleInstitute,552,76,7.26,non-profit,USA,org,training; science,
soil_institute,181,67,2.7,non-profit,USA,org,science,
sustainableag,122,56,2.18,non-profit,USA,org,advocacy,
LSPnow,262,54,4.85,non-profit,USA,org,advocacy; training,
SVCAstewardship,117,50,2.34,non-profit,Canada,org,advocacy; information,
OrganicConsumer,1261,45,28.02,non-profit,USA,org,advocacy; information,regeneration_in
Notillorg,129,39,3.31,non-profit,USA,org,training,
IFarmers,147,38,3.87,non-profit,UK,org,science; funding,
meritormyth,78,33,2.36,non-profit,USA,org,information,
ril_foundation,194,32,6.06,non-profit,India,org,advocacy,
RegenWa,106,31,3.42,non-profit,Australia,org,information,
SusFoodTrust,181,30,6.03,non-profit,UK,org,advocacy,
Wheatbeltnrm,134,30,4.47,non-profit,Australia,org,funding,
EOMovement,77,30,2.57,non-profit,Canada,org,advocacy,
Farmland,136,23,5.91,non-profit,USA,org,information; advocacy,
soilcouncil,63,23,2.74,non-profit,Canada,org,advocacy; information,
rebuildsoil,78,22,3.55,non-profit,USA,org,advocacy,CFSTrueFood
ClimateReality,426,18,23.67,non-profit,International,org,advocacy; information,
restoreforward,127,18,7.06,non-profit,International,org,information; advocacy,WorldResources
foodprintorg,110,17,6.47,non-profit,USA,org,information,EatSustainable
Cornucopia_Inst,56,14,4,non-profit,USA,org,information; advocacy,
onlyorganic,74,11,6.73,non-profit,USA,org,advocacy,
FarmC02Toolkit,55,11,5,non-profit,UK,org,training; information,
GMOFreeUSA,55,11,5,non-profit,USA,org,information; advocacy,
RegenAGuk,49,11,4.45,non-profit,UK,org,information,
YoungFarmers,41,11,3.73,non-profit,USA,org,training,
NRDC,330,10,33,non-profit,USA,org,advocacy; information,
foodtank,129,10,12.9,non-profit,International,org,advocacy; information,
FarmAid,55,10,5.5,non-profit,USA,org,advocacy,
organictrust,39,10,3.9,non-profit,Ireland,org,certification,
ethical_butcher,337,100,3.37,personal,,indiv,,
cornishgrill,161,72,2.24,personal,UK,indiv,advocacy,
AmplifyCapital,200,61,3.28,personal,USA,indiv,,
NutritionalThe3,128,40,3.2,personal,Germany,indiv,,
Taimur_T_Malik,123,27,4.56,personal,International,indiv,advocacy,
WoodlandDave,111,25,4.44,personal,UK,indiv,,
glomalin,84,21,4,personal,USA,indiv,advocacy,
Blueequus775,179,14,12.79,personal,,indiv,,
fer_ananda,124,14,8.86,personal,International,indiv,tech,
StanleyYokwe,55,12,4.58,personal,Australia,indiv,,
pippa_hackett,177,19,9.32,politician,Ireland,indiv,advocacy,
RepSpanberger,68,13,5.23,politician,USA,indiv,,
SenatorRobBlack,78,12,6.5,politician,USA,indiv,,
TimRyan,270,11,24.55,politician,USA,indiv,,
SDSHCoalition,326,154,2.12,producer-organization,USA,org,information; advocacy; training,
SoilNetwork,98,43,2.28,producer-organization,Canada,org,information; training,
CARAresearch,90,34,2.65,producer-organization,Canada,org,training; advocacy; information,
Groundswellaguk,91,23,3.96,producer-organization,UK,org,information; advocacy,
PastureForLife,80,11,7.27,producer-organization,UK,org,,
nobleresinst,141,62,2.27,research,USA,org,science; information,
Soilmicrobio,77,36,2.14,research,Ireland,org,science,
ucanr,82,30,2.73,research,USA,org,science; information; training,
RECARE_EU,96,25,3.84,research,Europe,org,science,
Landmark2020,52,25,2.08,research,Europe,org,science,
CIMMYT,80,24,3.33,research,International,org,science,
CCRI_UK,68,18,3.78,research,UK,org,information,
wormscience,130,17,7.65,research,Australia,indiv,science,
ICRAF,94,13,7.23,research,International,org,science; information,
LIATLincoln,53,11,4.82,research,UK,org,science; training,
diverfarming,42,11,3.82,research,Europe,org,science,
Rothamsted,226,10,22.6,research,International,org,science; information,
ASA_CSSA_SSSA,107,44,2.43,science-society,International,org,science,
SSSA_soils,224,31,7.23,science-society,International,org,science; information,
agronomistag,128,59,2.17,scientist,USA,indiv,extension; science; information,
Anna_K_speaking,131,36,3.64,scientist,UK,indiv,science,
soilhealthexprt,94,31,3.03,scientist,UK,indiv,science,
Dirt_Science,86,25,3.44,scientist,UK,indiv,science,
GrassBased,195,24,8.12,scientist,USA,indiv,science; information,
drsplace,198,16,12.38,scientist,USA,indiv,science,
wooddecomp,38,11,3.45,scientist,International,indiv,science,
CoverCropCoach,660,167,3.95,small-company,USA,indiv,training; information,
regen_network,105,48,2.19,small-company,USA,org,profit,
VitTellus,248,39,6.36,small-company,North America,org,science; information,alcanadalabs
teralytic,114,38,3,small-company,USA,org,profit,
Terra_Genesis,68,32,2.12,small-company,International,org,profit,
MansOrganics,66,32,2.06,small-company,Canada,org,profit,
AdvancingEcoAg,156,30,5.2,small-company,USA,org,profit; training; advocacy,VisionBuilder7
CustomAgIntel,62,28,2.21,small-company,Canada,org,profit,
antaraag,105,21,5,small-company,Canada,org,information; training; agronomy,
tori_waugh,68,16,4.25,small-company,Canada,indiv,training,
WideOpenAg,43,10,4.3,small-company,Australia,org,profit,
NFUDC,109,16,6.81,union,USA,org,advocacy,
BuildSoil,315,45,7,,USA,indiv,,
CECHR_UoD,367,41,8.95,,,,,
BonnyDunlopH,76,22,3.45,,,,,
LauraVanEerd,63,22,2.86,,,,,
JohnPiottiAFT,58,22,2.64,,,,,
landcarekaren,52,21,2.48,,,,,
LEAF_Farming,50,21,2.38,,,,,
sustainableftrs,48,21,2.29,,,,,
MineralDoc,47,21,2.24,,,,,
ClimateColl,44,21,2.1,,,,,
ARC2020eu,42,21,2,,,,,
farmingfirst,74,20,3.7,,,,,
SustainableDish,71,20,3.55,,,,,
foodtechconnect,65,20,3.25,,,,,
Direct2Farmer,56,20,2.8,,,,,
GenEngNetwork,50,20,2.5,,,,,
SK_Soil,48,20,2.4,,,,,
FrontierAg,43,20,2.15,,,,,
IowaSoybeans,41,20,2.05,,,,,
squeezeverydrop,40,20,2,,,,,
Kingscrops,57,19,3,,,,,
davebeechersoil,65,18,3.61,,,,,
fairworldprj,64,18,3.56,,,,,
RobynOBrienUSA,63,18,3.5,,,,,
cfra,62,18,3.44,,,,,
NRDCFood,58,18,3.22,,,,,
SkyAgriculture,54,18,3,,,,,
KentuckyCrops,50,18,2.78,,,,,
AHDB_Hort,49,18,2.72,,,,,
AgnitionUSA,38,18,2.11,,,,,
TSUBioenergy,37,18,2.06,,,,,
FoundationFAR,36,18,2,,,,,
JustinCMAdams,54,17,3.18,,,,,
AHDB_Cereals,51,17,3,,,,,
agxplore,44,17,2.59,,,,,
saskforage,40,17,2.35,,,,,
RonWMacKenzie,38,17,2.24,,,,,
ARDiscoveryFarm,37,17,2.18,,,,,
SIFFInd,37,17,2.18,,,,,
timhammerich,36,17,2.12,,,,,
OrgResCent,35,17,2.06,,,,,
agripulse,34,17,2,,,,,
NeilSymbio,61,16,3.81,,,,,
farmerama__,56,16,3.5,,,,,
TylerMayoras,50,16,3.12,,,,,
EarthValleyOrg,47,16,2.94,,,,,
MBGovAg,43,16,2.69,,,,,
Prof_Braj_Singh,41,16,2.56,,,,,
jimmy_emmons,40,16,2.5,,,,,
FarmGirlJen,38,16,2.38,,,,,
James_pWoodward,38,16,2.38,,,,,
jsnellenburg,36,16,2.25,,,,,
TreeworkUK,56,15,3.73,,,,,
Indigoag,42,15,2.8,,,,,
sdcorn,37,15,2.47,,,,,
Cropnuts,32,15,2.13,,,,,
cadwego,51,14,3.64,,,,,
iSQAPER,51,14,3.64,,,,,
RGMVP,48,14,3.43,,,,,
BryanBiegs,46,14,3.29,,,,,
mikeonthehills,46,14,3.29,,,,,
UplandOrganics,46,14,3.29,,,,,
_Croatan,43,14,3.07,,,,,
essexwindyfarm,42,14,3,,,,,
ofgorganic,41,14,2.93,,,,,
covercropcoach,37,14,2.64,,,,,
RDG_Land,37,14,2.64,,,,,
ckgasch,35,14,2.5,,,,,
GlobalFarmerNet,34,14,2.43,,,,,
