, word
1," ""is"""
2," ""K"""
3," ""Card"""
4," ""in"""
5," ""ka"""
6," ""Ne"""
7," ""done"""
8," ""tax"""
9," ""that"""
10," ""Key"""
11," ""change"""
12," ""to"""
13," ""name"""
14," ""can"""
15," ""How many"""
16," ""farmers"""
17," ""to"""
18," ""what"""
19," ""made"""
20," ""year"""
21," ""pie"""
22," ""tell"""
23," ""Chief Minister"""
24," ""Government"""
25," ""are"""
26," ""mud"""
27," ""for"""
28," ""ji"""
29," ""and"""
30," ""Plan"""
31," ""million"""
32," ""Prime Minister"""
33," ""too"""
34," ""their"""
35," ""tell cm"""
36," ""Soil"""
37," ""Vande Mataram"""
38," ""can"""
39," ""farmer"""
40," ""agriculture"""
41," ""Country"""
42," ""Crop"""
43," ""more"""
44," ""Soil"""
45," ""on"""
46," ""till"""
47," ""Our"""
48," ""Health"""
49," ""its"""
50," ""Build"""
51," ""So"""
52," ""No"""
53," ""fill"""
54," ""go"""
55," ""make"""
56," ""stay"""
57," ""ho"""
58," ""method"""
59," ""so"""
60," ""Better"""
61," ""Modi"""
62," ""They"""
63," ""Understanding"""
64," ""no"""
65," ""that"""
66," ""only"""
67," ""consistent"""
68," ""Bo"""
69," ""health"""
70," ""Sure"""
71," ""gone"""
72," ""Mom"""
73," ""one"""
74," ""urea"""
75," ""Vande Mataram"""
76," ""development"""
77," ""Our"""
78," ""health"""
79," ""information"""
80," ""More"""
81," ""Insurance"""
82," ""Now"""
83," ""Many"""
84," ""farm"""
85," ""Land"""
86," ""Check"""
87," ""Closed"""
88," ""Raghuvarasarakarake 1000 days"""
89," ""with"""
90," ""Health"""
91," ""Someone"""
92," ""Release"""
93," ""The"""
94," ""talk"""
95," ""Free"""
96," ""stay"""
97," ""Years"""
98," ""Health"""
99," ""we"""
100," ""Now"""
101," ""Something"""
102," ""Benefit"""
103," ""Lot"""
104," ""Faith"""
105," ""Raised"""
106," ""to"""
107," ""factories"""
108," ""given"""
109," ""Repeat"""
110," ""Fallen"""
111," ""First"""
112," ""Ye"""
113," ""Starting"""
114," ""Today"""
115," ""Less"""
116," ""get done"""
117," ""work"""
118," ""done"""
119," ""by"""
120," ""Meditation"""
121," ""no"""
122," ""value"""
123," ""Benefits"""
124," ""Just"""
125," ""every"""
126," ""doing"""
127," ""Fields"""
128," ""gone"""
129," ""investigation"""
130," ""hold"""
131," ""Narendra"""
132," ""Experiments"""
133," ""About"""
134," ""without"""
135," ""Soil"""
136," ""Sir"""
137," ""Green"""
138," ""if"""
139," ""You"""
140," ""Income"""
141," ""Raise"""
142," ""step"""
143," ""Make"""
144," ""Farmers"""
145," ""farming"""
146," ""gone"""
147," ""village"""
148," ""Quality"""
149," ""should"""
150," ""mass"""
151," ""Required"""
152," ""district"""
153," ""district"""
154," ""Piece"""
155," ""was"""
156," ""given"""
157," ""give"""
158," ""give"""
159," ""Earth"""
160," ""test"""
